ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
681,Choco Crispy Rasa Cokelat,Larisst,1.0,porsi (25 g),110.0,,,21.0,,1.0,2.0,1.0,0.0,0.0,,0.0,0.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,
682,Choco Crunch,Joyday,1.0,porsi (40 ml),70.0,,,8.0,,1.0,4.5,2.5,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
683,Choco Fiesta,Jetz,1.0,bungkus (18 g),90.0,,,12.0,,1.0,4.0,2.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,
684,Choco Fit Cookie,Fitbreak,1.0,porsi (25 g),130.0,,,11.0,,6.0,7.0,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Choco Granola,Familia,100.0,g,470.0,,,70.0,,8.0,18.0,6.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Choco Hazelnut Spread,Ceres,2.0,porsi (30 g),150.0,,,22.0,,1.0,6.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Choco Lava Mochi,Glico,1.0,bungkus (46 ml),120.0,,,27.0,,1.0,1.0,1.0,,,,0.0,0.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
688,Choco Malt,Aice,1.0,kemasan (49 ml),35.0,,,6.0,,0.0,1.5,0.5,,,,0.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
689,Choco Malt,Oatside,1.0,porsi (200 ml),190.0,,,30.0,,2.0,7.0,1.0,,,,0.0,2.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,
690,Choco Malt,Whey To Go,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
