ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
1831,Kentang Tumbuk (Ditambahkan Susu ),Sayuran,100.0,gram (g),83.0,,,17.53,,1.92,0.57,0.253,0.055,0.104,,2.0,1.5,,,1.51,,,,,,,,,,,,,,,,,,,,,,302.0,298.0,,,,,,,,,,,,
1832,Kentang Tumbuk (Ditambahkan Susu dan Mentega ),Sayuran,100.0,gram (g),113.0,,,16.77,,1.87,4.22,2.078,0.16,0.851,,11.0,1.5,,,1.43,,,,,,,,,,,,,,,,,,,,,,317.0,286.0,,,,,,,,,,,,
1833,Kentang Tumbuk (dari Kentang Kering),Sayuran,100.0,gram (g),105.0,,,12.22,,2.02,5.56,1.274,1.506,2.489,,2.0,0.9,,,1.87,,,,,,,,,,,,,,,,,,,,,,326.0,186.0,,,,,,,,,,,,
1834,Kentang Tumbuk (dari Kentang Segar),Sayuran,100.0,gram (g),122.0,,,13.22,,2.11,6.96,1.595,1.884,3.12,,3.0,1.0,,,2.24,,,,,,,,,,,,,,,,,,,,,,392.0,240.0,,,,,,,,,,,,
1835,Kepiting,Ikan & Seafood,100.0,gram (g),101.0,,,0.0,,20.03,1.76,0.226,0.674,0.278,,99.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,600.0,321.0,,,,,,,,,,,,
1836,Kepiting Biru,Ikan & Seafood,100.0,gram (g),87.0,,,0.04,,18.06,1.08,0.222,0.387,0.192,,78.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,293.0,329.0,,,,,,,,,,,,
1837,Kepiting Kalengan,Ikan & Seafood,100.0,gram (g),99.0,,,0.0,,20.52,1.23,0.252,0.44,0.218,,89.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,333.0,374.0,,,,,,,,,,,,
1838,Kepiting Panggang,Ikan & Seafood,100.0,gram (g),136.0,,,0.11,,18.91,6.24,1.073,1.98,2.426,,94.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,539.0,304.0,,,,,,,,,,,,
1839,Kerang,Ikan & Seafood,100.0,gram (g),217.0,,,10.49,,18.14,10.96,2.216,3.36,4.415,,54.0,0.5,,,0.82,,,,,,,,,,,,,,,,,,,,,,487.0,337.0,,,,,,,,,,,,
1840,Kerang (Spesies Campuran),Ikan & Seafood,100.0,gram (g),88.0,,,2.36,,16.78,0.76,0.079,0.261,0.037,,33.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,161.0,322.0,,,,,,,,,,,,
1841,Kerang Kukus atau Rebus,Ikan & Seafood,100.0,gram (g),106.0,,,2.33,,16.18,3.09,0.519,0.943,1.15,,32.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,422.0,280.0,,,,,,,,,,,,
1842,Kerang Panggang,Ikan & Seafood,100.0,gram (g),132.0,,,2.92,,20.22,3.86,0.649,1.179,1.438,,40.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,527.0,389.0,,,,,,,,,,,,
1843,Keripik,Maicih,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1844,Keripik Jagung Tawar,Makanan Ringan,100.0,gram (g),518.0,,,63.01,,6.03,28.41,3.612,14.01,7.913,,0.0,5.3,,,1.16,,,,,,,,,,,,,,,,,,,,,,616.0,135.0,,,,,,,,,,,,
1845,Keripik Jagung Tortilla,Makanan Ringan,100.0,gram (g),488.0,,,65.32,,7.79,23.36,2.458,9.956,9.52,,0.0,5.3,,,1.0,,,,,,,,,,,,,,,,,,,,,,421.0,215.0,,,,,,,,,,,,
1846,Keripik Kentang,Lainnya,100.0,gram (g),547.0,,,49.74,,6.56,37.47,10.96,12.17,9.84,,0.0,4.4,,,4.12,,,,,,,,,,,,,,,,,,,,,,525.0,1642.0,,,,,,,,,,,,
1847,Keripik Kentang,Makanan Ringan,100.0,gram (g),547.0,,,49.74,,6.56,37.47,10.96,12.17,9.84,,0.0,4.4,,,4.12,,,,,,,,,,,,,,,,,,,,,,525.0,1642.0,,,,,,,,,,,,
1848,Keripik Kentang (Asin),Makanan Ringan,100.0,gram (g),547.0,,,49.74,,6.56,37.47,10.96,12.17,9.84,,0.0,4.4,,,4.12,,,,,,,,,,,,,,,,,,,,,,525.0,1642.0,,,,,,,,,,,,
1849,Keripik Kentang Bebas Lemak,Makanan Ringan,1.0,mangkok,76.0,,,16.75,,1.93,0.12,0.03,0.051,0.003,,0.0,1.5,,,0.74,,,,,,,,,,,,,,,,,,,,,,129.0,326.0,,,,,,,,,,,,
1850,Keripik Kentang Rasa Barbecue,Makanan Ringan,100.0,gram (g),491.0,,,52.8,,7.7,32.4,8.05,16.37,6.54,,0.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,750.0,1261.0,,,,,,,,,,,,
1851,Keripik Kentang dengan Lemak yang Dikurangi,Makanan Ringan,100.0,gram (g),471.0,,,66.9,,7.1,20.8,4.16,10.94,4.8,,0.0,5.9,,,0.22,,,,,,,,,,,,,,,,,,,,,,492.0,1744.0,,,,,,,,,,,,
1852,Keripik Singkong,Maicih,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1853,Keripik Singkong BBQ,Qtela,1.0,bungkus (20 g),100.0,,,14.0,,0.0,5.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
1854,Keripik Singkong Balado,Qtela,9.0,keping (20 g),100.0,,,13.0,,0.0,6.0,2.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,
1855,Keripik Singkong Original,Qtela,1.0,bungkus (185 g),320.0,,,38.0,,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,
1856,Keripik Tempe,Qtela,1.0,bungkus (60 g),320.0,,,21.0,,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,Keripik Tempe Rasa Tempe Orek,Qtela,1.0,serving (20 g),110.0,,,7.0,,5.0,7.0,3.0,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,
1858,Keripik Ubi Ungu,Qtela,1.0,kemasan (45 g),190.0,,,22.0,,1.0,10.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
"1859,Kerupuk / Biskuit,Lainnya,1.0,""kerupuk, segi empat"",20.0,,,2.44,,0.3,1.01,0.151,0.382,0.426,,0.0,0.1,,,0.07,,,,,,,,,,,,,,,,,,,,,,34.0,5.0,,,,,,,,,,,,"
"1860,Kerupuk / Biskuit,Makanan Ringan,1.0,""kerupuk, segi empat"",20.0,,,2.44,,0.3,1.01,0.151,0.382,0.426,,0.0,0.1,,,0.07,,,,,,,,,,,,,,,,,,,,,,34.0,5.0,,,,,,,,,,,,"
1861,Kerupuk Asin,Makanan Ringan,1.0,kerupuk,13.0,,,2.13,,0.28,0.34,0.05,0.037,0.21,,0.0,0.1,,,0.01,,,,,,,,,,,,,,,,,,,,,,32.0,5.0,,,,,,,,,,,,
1862,Kerupuk Gandum,Makanan Ringan,1.0,kerupuk,9.0,,,1.3,,0.17,0.41,0.104,0.056,0.229,,0.0,0.1,,,0.26,,,,,,,,,,,,,,,,,,,,,,16.0,4.0,,,,,,,,,,,,
1863,Kerupuk Keriting,Qtela,9.0,kerupuk (20 g),70.0,,,17.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,
1864,Kerupuk Rasa Bawang,Finna,1.0,keping (20 g),50.0,,,17.0,,0.0,0.0,0.0,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,210.0,15.0,,,,,,,,,,,,
1865,Kerupuk Udang,Finna,100.0,g,350.0,,,84.0,,2.0,0.0,,,,,0.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,1090.0,,,,,,,,,,,,,
1866,Kerupuk Udang Goreng,Finna,1.0,sajian (10 g),50.0,,,7.0,,0.0,2.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,
1867,Kerupuk Udang Nusantara,Finna,1.0,porsi (10 g),50.0,,,7.0,,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,Kerupuk Udang Rasa Kari,Finna,1.0,takaran saji (15 g),70.0,,,10.0,,0.0,3.0,1.5,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,250.0,10.0,,,,,,,,,,,,
1869,Kerupuk Udang Rasa Rumput Laut,Finna,1.0,porsi (20 g),100.0,,,14.0,,0.0,5.0,2.0,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,210.0,10.0,,,,,,,,,,,,
1870,Ketoprak Salad Bowl,Salad Point,1.0,porsi,400.0,,,23.0,,11.0,12.0,,,,,,7.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,197.0,,,,,,,,,,,,,
1871,Ketupat Mini,Adabi,1.0,porsi (40 g),140.0,,,32.0,,3.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1872,Ketupat Sayur Padang Rendang And Low Calorie Nata De Coco,Healthy Go,1.0,porsi,450.0,,,46.0,,31.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,Kido,Tango,1.0,porsi (115 ml),60.0,,,12.0,,2.0,3.0,2.0,,,,10.0,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,
1874,Kimchi,JONGGA,1.0,porsi (75 g),40.0,,,6.0,,2.0,1.0,0.0,,,,0.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,
1875,Kimchi,Javasuperfood,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876,Kimchi,Mama Suka,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877,Kimchi,Ommason,100.0,g,70.0,,,12.0,,4.0,0.0,0.14,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,,,,,,,,,,,,,
1878,Kimchi Butter Stir Fried Noodle,JONGGA,1.0,serving (138 g),520.0,,,67.0,,10.0,24.0,10.0,,,,5.0,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,1320.0,,,,,,,,,,,,,
1879,Kimchi Ramen,Samyang,1.0,serving (60 g),250.0,,,39.0,,5.0,8.0,4.0,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,
1880,King Beef BBQ,Jack N Jill,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1881,Kismis,Buah,100.0,gram (g),299.0,,,79.18,,3.07,0.46,0.058,0.037,0.051,,0.0,3.7,,,59.19,,,,,,,,,,,,,,,,,,,,,,11.0,749.0,,,,,,,,,,,,
1882,Kismis (tanpa Biji),Buah,100.0,gram (g),299.0,,,79.18,,3.07,0.46,0.058,0.037,0.051,,0.0,3.7,,,59.19,,,,,,,,,,,,,,,,,,,,,,11.0,749.0,,,,,,,,,,,,
1883,Kismis Dilapisi Coklat,Buah,1.0,kismis,4.0,,,0.68,,0.04,0.15,0.088,0.005,0.047,,0.0,0.0,,,0.62,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,
1884,Kismis Dilapisi Coklat Susu,Buah,100.0,gram (g),390.0,,,68.3,,4.1,14.8,8.8,0.51,4.74,,3.0,4.2,,,62.22,,,,,,,,,,,,,,,,,,,,,,36.0,514.0,,,,,,,,,,,,
1885,Kismis Emas (tanpa Biji),Buah,100.0,gram (g),302.0,,,79.52,,3.39,0.46,0.151,0.135,0.019,,0.0,4.0,,,59.19,,,,,,,,,,,,,,,,,,,,,,12.0,746.0,,,,,,,,,,,,
1886,Kitkat,Nestle,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1887,Kitkat Chocolate Drink,Nestle,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1888,Kitkat Chunky,Nestle,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,Kitkat Green Tea,Nestle,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,Kitkat Matcha,Nestle,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1891,Knusper Crunch,Familia,100.0,g,464.0,,,60.0,,8.0,20.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,
1892,Knusper Granola Roasted Hazelnuts,Familia,100.0,g,471.0,,,61.0,,8.4,20.0,5.0,,,,,6.5,,,23.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
1893,Koko Krunch (15g),Nestle,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1894,Koko Krunch (30g),Nestle,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,Koko Krunch Double Choco,Nestle,1.0,porsi (30 g),110.0,,,23.0,,2.0,1.0,0.5,,,,2.0,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,
1896,Kokokrunch,Nestle,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897,Koktail Buah atau Campuran,Lainnya,1.0,gelas,93.0,,,24.24,,1.02,0.3,0.07,0.079,0.023,,0.0,3.2,,,17.83,,,,,,,,,,,,,,,,,,,,,,2.0,296.0,,,,,,,,,,,,
1898,Koktail Buah tanpa Pemanis dalam Kemasan Air (Dimasak atau Kalengan),Lainnya,1.0,gelas,78.0,,,20.85,,1.03,0.12,0.015,0.049,0.022,,0.0,2.4,,,18.4,,,,,,,,,,,,,,,,,,,,,,10.0,230.0,,,,,,,,,,,,
1899,Kolang Kaling Mix,Inaco,1.0,porsi (180 ml),130.0,,,31.0,,0.0,0.0,0.0,,,,0.0,0.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
1900,Koloke Chicken Breast,Fit Solution,1.0,serving,297.0,,,31.0,,32.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Konbutsuyu,WARASA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,Konyaku Jelly Powder,Sakura,1.0,bungkus (10 g),40.0,,,10.0,,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,
1903,Kopi,Nescafe,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,Kopi,Minuman,1.0,cangkir (240 ml),2.0,,,0.09,,0.28,0.05,0.005,0.002,0.028,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,111.0,,,,,,,,,,,,
1905,Kopi,Neo Coffee,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1906,Kopi,Kapal Api,1.0,""cangkir (6,5 g)"",30.0,,,4.0,,1.0,0.5,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
1907,Kopi,Lainnya,1.0,cangkir (240 ml),2.0,,,0.09,,0.28,0.05,0.005,0.002,0.028,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,111.0,,,,,,,,,,,,
1908,Kopi,Indocafe,1.0,cangkir (20 g),90.0,,,17.0,,1.0,2.0,2.0,0.0,0.0,,0.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,,,,,,,,,,,,
1909,Kopi (Diseduh dari Bubuk),Minuman,1.0,cangkir (240 ml),2.0,,,0.0,,0.28,0.05,0.005,0.002,0.036,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,116.0,,,,,,,,,,,,
1910,Kopi Bubuk,Nescafe,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911,Kopi Espresso,Minuman,1.0,cangkir espressoo (60 ml),1.0,,,0.0,,0.07,0.11,0.054,0.054,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,8.0,68.0,,,,,,,,,,,,
1912,Kopi Fine Blend,Indocafe,1.0,sdt (2 g),5.0,,,1.0,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1913,Kopi Instan (yang Terbuat dari Bubuk),Minuman,1.0,cangkir (240 ml),5.0,,,0.9,,0.26,0.0,0.004,0.004,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,76.0,,,,,,,,,,,,
1914,Kopi Kapal Api Special Mix,Kapal Api,1.0,serving (23 g),90.0,,,21.0,,1.0,0.5,0.0,,,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
1915,Kopi Klepon,ABC,1.0,bungkus (25 g),110.0,,,20.0,,1.0,3.5,3.5,,,,,1.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,
1916,Kopi Latte,Minuman,1.0,sedang,135.0,,,12.36,,8.81,5.51,3.322,0.4,1.399,,20.0,0.0,,,13.55,,,,,,,,,,,,,,,,,,,,,,126.0,555.0,,,,,,,,,,,,
1917,Kopi Latte Choco Hazelnut,Caffino,1.0,bungkus (20 g),90.0,,,16.0,,1.0,2.0,1.5,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
1918,Kopi Latte Mocca,Caffino,1.0,serving (20 g),90.0,,,16.0,,1.0,2.0,1.5,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
1919,Kopi Latte Premium,Caffino,1.0,bungkus (30 g),130.0,,,24.0,,1.0,3.5,0.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
1920,Kopi Latte Premium Bold,Caffino,1.0,sachet (30 g),130.0,,,24.0,,1.0,3.5,3.5,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
1921,Kopi Mocha,Kapal Api,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1922,Kopi Soda,F&N,1.0,kaleng (325 ml),180.0,,,46.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,42.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,
1923,Kopi Susu,Kapal Api,1.0,sachet (31 g),140.0,,,26.0,,1.0,3.5,2.5,,,,,2.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
1924,Kopi Susu,ABC,1.0,sachet (31 g),130.0,,,27.0,,1.0,2.5,2.0,,,,,2.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,
1925,Kopi Susu Gula Aren,ABC,1.0,takaran saji (27 g),120.0,,,23.0,,1.0,3.0,3.0,,,,,1.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
1926,Korean BBQ Bulgogi Marinade For Beef,O'food,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1927,Korean BBQ Sauce,Del Monte,1.0,porsi (25 g),70.0,,,14.0,,0.0,0.5,0.0,,,,0.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,880.0,,,,,,,,,,,,,
1928,Korean Banana Milk,Ichitan,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
