ID;Nama Makanan;Kategori;Jumlah Sajian;Per Sajian;Energi;Energi dari lemak;Energi dari lemak jenuh;Karbohidrat total;Karbohidrat lain;Protein;Lemak total;Lemak jenuh;Lemak tidak jenuh ganda;Lemak tidak jenuh tunggal;Lemak trans;Kolesterol;Serat pangan;Serat pangan larut;Serat pangan tidak larut;Gula;Gula alkohol;Air;Abu;Vitamin A;B0Karoten;Vitamin B1;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin B12;Folat;Biotin;Kolin;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Kalsium;Fosfor;Magnesium;Natrium;Kalium;Besi;Seng;Tembaga;Mangan;Iodium;Selenium;Fluor;Kromium;L0Karnitin;Myo0Inositol;Asam linoleat;Asam a0linolenat
4899;Jangkrik Mas Serbat Uwuh;CV. Herba Liem Putra;1;12 gram;50 kkal;0;0;12 g;0;0 g;0 g;0;0;0;0;0;0;0;0;10 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
3583;Susu osamilk;CV. Isma mandiri;1;100 g;220 kkal;0;0;40 g;0;2 g;6 g;0;0;0;0;0;0;0;0;21 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2277;Regal Biskuit Marie;CV. JAYA ABADI;1;15 g;70 kkal;0;0;12 g;0;1 g;2 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2281;Regal Biskuit Marie;CV. JAYA ABADI;1;15 g;70 kkal;0;0;12 g;0;1 g;2 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4886;Regal Marie Biscuits Spesial 1000g;CV. JAYA ABADI;1;40 gram;180 kkal;0;0;30 g;0;3 g;4.50 g;0;0;0;0;0;2 g;0;0;9 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4623;Minyak Goreng Sawit Khazanah;CV. Khazanah Jaya Raya;1;100 ml;810 kkal;0;0;1 g;0;1 g;100 g;0;0;0;0;0;0;0;0;1 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
3030;yummy bites banana flavor;CV. KUSUMA FOOD INDONESIA;1;100.00 g;190 kkal;0;0;44 g;0;2 g;0 g;0;0;0;0;0;0;0;0;4 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
3016;Yummy bites Originak;CV. KUSUMA FOOD INDONESIA;1;100.00 g;50 kkal;0;0;8 g;0;2 g;1 g;0;0;0;0;0;0;0;0;2 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4444;Batagor Kuah Cup Rasa Soto;CV. Kylafood Boga Indonesia;1;80 gram;410 kkal;0;0;49 g;0;3 g;22 g;0;0;0;0;0;0;0;0;2 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1490 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4436;Seblak Instan Rempah Autentik;CV. Kylafood Boga Indonesia;1;100 gram;520 kkal;0;0;32 g;0;2 g;43 g;0;0;0;0;0;0;0;0;1 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1110 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4437;Mi Instan Kuah Rasa Kari;CV. Mahardika Mulia Sekawan;1;80 gram;310 kkal;0;0;53 g;0;9 g;7 g;0;0;0;0;0;0;0;0;2 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1090 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
3401;Aida Cabe Giling;CV. Makmur Permata;1;100 g;0 kkal;0;0;1 g;0;0 g;0 g;0;0;0;0;0;0 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2467;East Bali Cashews Granola With Rosella Cinnamon;CV. Mente Bali Sejahtera;1;30 g;126 kkal;0;0;18.50 g;0;2.50 g;4 g;0;0;0;0;0;2.50 g;0;0;5 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118.50 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
3777;oMo! Krispy-O;CV. OMO Food Indonesia;1;100 g;70 kkal;0;0;11 g;0;1 g;2.50 g;0;0;0;0;0;0;0;0;1 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1672;Sambal cuk ijo teri medan;CV. SAMBAL CUK;1;40 g;190 kkal;0;0;9 g;0;2 g;17 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1670;Sambal cuk ikan roa asap;CV. SAMBAL CUK;1;40 g;220 kkal;0;0;7 g;0;4 g;20 g;0;0;0;0;0;3 g;0;0;4 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1671;Sambal cuk korek bebek madura;CV. SAMBAL CUK;1;40 g;170 kkal;0;0;10 g;0;2 g;14 g;0;0;0;0;0;7 g;0;0;3 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
